"Date","Official Bank Rate  						[a] [b] 						IUDBEDR","Quarterly average of official Bank Rate  						[a] [b] 						IUQABEDR","End quarter official Bank Rate  						[a] [b] 						IUQLBEDR"
"21 Sep 26","3.75","n/a","n/a"
"18 Sep 26","3.75","n/a","n/a"
"17 Sep 26","3.75","n/a","n/a"
"16 Sep 26","3.75","n/a","n/a"
"15 Sep 26","3.75","n/a","n/a"
"14 Sep 26","3.75","n/a","n/a"
"11 Sep 26","3.75","n/a","n/a"
"10 Sep 26","3.75","n/a","n/a"
"09 Sep 26","3.75","n/a","n/a"
"08 Sep 26","3.75","n/a","n/a"
"07 Sep 26","3.75","n/a","n/a"
"04 Sep 26","3.75","n/a","n/a"
"03 Sep 26","3.75","n/a","n/a"
"02 Sep 26","3.75","n/a","n/a"
"01 Sep 26","3.75","n/a","n/a"
"28 Aug 26","3.75","n/a","n/a"
"27 Aug 26","3.75","n/a","n/a"
"26 Aug 26","3.75","n/a","n/a"
"25 Aug 26","3.75","n/a","n/a"
"24 Aug 26","3.75","n/a","n/a"
"21 Aug 26","3.75","n/a","n/a"
"20 Aug 26","3.75","n/a","n/a"
"19 Aug 26","3.75","n/a","n/a"
"18 Aug 26","3.75","n/a","n/a"
"17 Aug 26","3.75","n/a","n/a"
"14 Aug 26","3.75","n/a","n/a"
"13 Aug 26","3.75","n/a","n/a"
"12 Aug 26","3.75","n/a","n/a"
"11 Aug 26","3.75","n/a","n/a"
"10 Aug 26","3.75","n/a","n/a"
"07 Aug 26","3.75","n/a","n/a"
"06 Aug 26","3.75","n/a","n/a"
"05 Aug 26","3.75","n/a","n/a"
"04 Aug 26","3.75","n/a","n/a"
"03 Aug 26","3.75","n/a","n/a"
"31 Jul 26","3.75","n/a","n/a"
"30 Jul 26","3.75","n/a","n/a"
"29 Jul 26","3.75","n/a","n/a"
"28 Jul 26","3.75","n/a","n/a"
"27 Jul 26","3.75","n/a","n/a"
"24 Jul 26","3.75","n/a","n/a"
"23 Jul 26","3.75","n/a","n/a"
"22 Jul 26","3.75","n/a","n/a"
"21 Jul 26","3.75","n/a","n/a"
"20 Jul 26","3.75","n/a","n/a"
"17 Jul 26","3.75","n/a","n/a"
"16 Jul 26","3.75","n/a","n/a"
"15 Jul 26","3.75","n/a","n/a"
"14 Jul 26","3.75","n/a","n/a"
"13 Jul 26","3.75","n/a","n/a"
"10 Jul 26","3.75","n/a","n/a"
"09 Jul 26","3.75","n/a","n/a"
"08 Jul 26","3.75","n/a","n/a"
"07 Jul 26","3.75","n/a","n/a"
"06 Jul 26","3.75","n/a","n/a"
"03 Jul 26","3.75","n/a","n/a"
"02 Jul 26","3.75","n/a","n/a"
"01 Jul 26","3.75","n/a","n/a"
"30 Jun 26","3.75","3.75","3.75"
"29 Jun 26","3.75","n/a","n/a"
"26 Jun 26","3.75","n/a","n/a"
"25 Jun 26","3.75","n/a","n/a"
"24 Jun 26","3.75","n/a","n/a"
"23 Jun 26","3.75","n/a","n/a"
"22 Jun 26","3.75","n/a","n/a"
"19 Jun 26","3.75","n/a","n/a"
"18 Jun 26","3.75","n/a","n/a"
"17 Jun 26","3.75","n/a","n/a"
"16 Jun 26","3.75","n/a","n/a"
"15 Jun 26","3.75","n/a","n/a"
