DATE,LPMVTVJ,LPMVTXK,LPMVTVX,LPMBI2O
30 Apr 1993,1175,343530,86422,51422
31 May 1993,1378,344789,87752,51511
30 Jun 1993,1150,345814,85032,51820
31 Jul 1993,1343,347263,83464,51959
31 Aug 1993,1166,348324,82646,52022
30 Sep 1993,1702,349833,81136,52305
31 Oct 1993,1663,351298,80140,52405
30 Nov 1993,1501,353026,81472,52668
31 Dec 1993,1461,354184,82298,52799
31 Jan 1994,1474,355527,87586,53059
28 Feb 1994,1377,356733,90626,53137
31 Mar 1994,1630,358464,88600,53485
30 Apr 1994,1616,359944,87041,53927
31 May 1994,1486,361384,87720,53890
30 Jun 1994,1720,362954,83804,54646
31 Jul 1994,1816,364366,82111,55045
31 Aug 1994,1557,365778,78155,55513
30 Sep 1994,1425,367367,81624,55965
31 Oct 1994,1515,368898,80387,56417
30 Nov 1994,1454,370213,81950,56860
31 Dec 1994,1498,371738,87207,57548
31 Jan 1995,1413,373052,78870,60772
28 Feb 1995,1462,374557,80660,61402
31 Mar 1995,1331,375738,74854,62099
30 Apr 1995,1355,377259,75090,62652
31 May 1995,1170,378323,70627,62828
30 Jun 1995,1170,379402,69054,63578
31 Jul 1995,939,380869,73133,64228
31 Aug 1995,914,381522,76278,64866
30 Sep 1995,1420,383255,73497,65458
31 Oct 1995,1003,383943,79435,66240
30 Nov 1995,1022,384067,79582,66782
31 Dec 1995,1235,385485,85666,67646
31 Jan 1996,1358,386761,83644,68056
29 Feb 1996,1257,387953,79504,68721
31 Mar 1996,1433,389315,84683,69440
30 Apr 1996,1232,390812,79721,70405
31 May 1996,1450,392173,85388,70972
30 Jun 1996,1648,393930,89810,71494
31 Jul 1996,1222,395148,89296,72379
31 Aug 1996,1440,396451,92300,73334
30 Sep 1996,1663,398363,96434,74613
31 Oct 1996,1791,400243,100074,75541
30 Nov 1996,1887,402105,101746,76425
31 Dec 1996,1937,404007,101424,76747
31 Jan 1997,1793,405884,106088,77765
28 Feb 1997,1922,407769,95395,79101
31 Mar 1997,2113,409822,98463,79281
30 Apr 1997,1613,411152,102007,80162
31 May 1997,2015,412842,103407,81274
30 Jun 1997,1989,414521,104849,82171
31 Jul 1997,1555,415688,104749,82554
31 Aug 1997,1938,417595,105158,83648
30 Sep 1997,1917,418433,87241,83883
31 Oct 1997,1830,420379,82702,84954
30 Nov 1997,1844,422176,87628,86047
31 Dec 1997,1824,423936,86160,87214
31 Jan 1998,1925,424991,84317,88162
28 Feb 1998,1926,426936,91841,89351
31 Mar 1998,1795,428885,88077,91797
30 Apr 1998,1947,430812,84154,92559
31 May 1998,1959,432677,87943,94028
30 Jun 1998,2057,434657,89014,95115
31 Jul 1998,2245,436866,88562,96128
31 Aug 1998,2074,438908,87121,97286
30 Sep 1998,1982,440789,83586,98354
